Date,Open,High,Low,Close,MA50,MA200
9/27/2022,3686.44 ,3717.53 ,3623.29 ,3647.29 ,4030.68 ,4228.39 
9/28/2022,3651.94 ,3736.74 ,3640.61 ,3719.04 ,4026.33 ,4223.42 
9/29/2022,3687.01 ,3687.01 ,3610.40 ,3640.47 ,4019.94 ,4218.28 
9/30/2022,3633.48 ,3671.44 ,3584.13 ,3585.62 ,4011.67 ,4213.04 
10/3/2022,3609.78 ,3698.35 ,3604.93 ,3678.43 ,4006.01 ,4207.88 
10/4/2022,3726.46 ,3791.92 ,3726.46 ,3790.93 ,4002.49 ,4203.49 
10/5/2022,3753.25 ,3806.91 ,3722.66 ,3783.28 ,3999.74 ,4199.30 
10/6/2022,3771.97 ,3797.93 ,3739.22 ,3744.52 ,3994.16 ,4195.19 
10/7/2022,3706.74 ,3706.74 ,3620.73 ,3639.66 ,3985.50 ,4190.14 
10/10/2022,3647.51 ,3652.17 ,3588.10 ,3612.39 ,3975.14 ,4184.72 
10/11/2022,3595.86 ,3640.66 ,3568.45 ,3588.84 ,3964.55 ,4179.03 
10/12/2022,3590.83 ,3608.34 ,3573.86 ,3577.03 ,3954.26 ,4172.96 
10/13/2022,3520.37 ,3685.41 ,3491.58 ,3669.91 ,3944.56 ,4167.38 
10/14/2022,3690.41 ,3712.00 ,3579.68 ,3583.07 ,3933.18 ,4161.33 
10/17/2022,3638.65 ,3689.73 ,3638.65 ,3677.95 ,3923.84 ,4155.83 
10/18/2022,3746.26 ,3762.79 ,3686.53 ,3719.98 ,3915.43 ,4150.59 
10/19/2022,3703.11 ,3728.58 ,3666.51 ,3695.16 ,3906.89 ,4145.09 
10/20/2022,3689.05 ,3736.00 ,3656.44 ,3665.78 ,3896.00 ,4139.45 
10/21/2022,3657.10 ,3757.89 ,3647.42 ,3752.75 ,3886.91 ,4134.71 
10/24/2022,3762.01 ,3810.74 ,3741.65 ,3797.34 ,3877.25 ,4130.22 
10/25/2022,3799.44 ,3862.85 ,3799.44 ,3859.11 ,3868.49 ,4126.13 
10/26/2022,3825.97 ,3886.15 ,3824.07 ,3830.60 ,3859.00 ,4121.93 
10/27/2022,3834.69 ,3859.95 ,3803.79 ,3807.30 ,3849.66 ,4117.40 
10/28/2022,3808.26 ,3905.42 ,3808.26 ,3901.06 ,3842.01 ,4113.27 
10/31/2022,3881.85 ,3893.73 ,3863.18 ,3871.98 ,3834.88 ,4109.34 
11/1/2022,3901.79 ,3911.79 ,3843.80 ,3856.10 ,3829.24 ,4105.30 
11/2/2022,3852.90 ,3894.44 ,3758.68 ,3759.69 ,3821.86 ,4101.22 
